gene,in_network,disease_score,tissue_score,topology_score,ppi_final,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count
USP14,True,0.44,0.8333333333333333,0.85667832017673,0.7211695800441825,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
WWP2,True,0.6799999999999999,0.6666666666666666,0.8642755466958183,0.7200688866739546,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
TIMM23,True,0.8,0.8333333333333333,0.4187812838091116,0.7196953209522778,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CACNA1C,True,0.44,0.8,0.9041798142303648,0.7180449535575912,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
POLRMT,True,0.56,0.8333333333333333,0.6989207606341497,0.7177301901585375,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CTSK,True,0.8,0.6666666666666666,0.7094411170089863,0.7173602792522467,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
CSNK1A1,True,0.44,0.8333333333333333,0.8412799812975369,0.7173199953243843,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
RERE,True,1.0,0.6666666666666666,0.4651814027180423,0.7162953506795106,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
TRAPPC8,True,0.6799999999999999,0.8333333333333333,0.5477985380668896,0.7159496345167223,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CDK12,True,0.8,0.6666666666666666,0.7037846771968717,0.715946169299218,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
IMPDH1,True,0.8,0.6666666666666666,0.7037200756310329,0.7159300189077582,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
LARGE1,True,1.0,0.6666666666666666,0.45951228153456386,0.7148780703836409,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
PLCG2,True,0.44,0.8,0.8908376139936212,0.7147094034984054,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
POLR2A,True,0.56,0.6666666666666666,0.9804317006196526,0.7131079251549131,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
UTRN,True,0.8,0.6666666666666666,0.6921898573021805,0.7130474643255451,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
ITGA1,True,0.56,0.8,0.7395724817096015,0.7128931204274004,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
FZR1,True,0.44,0.8333333333333333,0.8219874441179711,0.7124968610294928,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
HNF1A,True,0.56,0.8,0.7379151321882431,0.7124787830470608,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
PDIA3,True,0.6799999999999999,0.6666666666666666,0.8330917853306665,0.7122729463326667,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
EYS,True,0.8,0.6666666666666666,0.6886939181676454,0.7121734795419113,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
SPATA7,True,1.0,0.6666666666666666,0.44326100675715685,0.7108152516892892,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
PLEK,True,0.56,0.6666666666666666,0.9661445263070771,0.7095361315767692,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
NUP133,True,0.44,0.8333333333333333,0.8090211686851245,0.7092552921712811,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CDA,True,0.56,0.8,0.724462955396725,0.7091157388491813,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
NBR1,True,0.6799999999999999,0.6666666666666666,0.8201957643663896,0.7090489410915974,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
PRKCA,True,0.56,0.6666666666666666,0.9590642190264153,0.7077660547566038,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
KIF11,True,0.56,0.6666666666666666,0.9561329427582689,0.7070332356895672,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
